gate lenght,Theta,Phi,dt,combination,total time,computing time
18,2.956119916,4.324715769,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,183.4691436
6,0.935612514,4.176526794,5,"[2, 4, 4, 1, 3, 2]",30,8.759941339
6,0.913409354,4.561376898,5,"[2, 4, 4, 1, 3, 4]",30,14.95864511
0,0.029053128,0.909434463,5,[],0,0.001999855
19,2.966936612,3.410186397,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1, 3, 4, 4, 1, 2]",95,374.61024
3,0.559304114,0.91704391,5,"[2, 4, 1]",15,0.397087336
15,2.466584916,3.310338927,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1, 3]",75,52.17750859
4,0.621242628,1.85931643,5,"[2, 4, 1, 1]",20,1.48632741
13,2.107736914,0.343800728,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4]",65,63.13333058
8,1.246097711,1.511247929,5,"[2, 4, 1, 3, 3, 2, 4, 1]",40,34.96040273
0,0.181347603,2.432407177,5,[],0,0.00199914
8,1.111311828,1.280134613,5,"[2, 4, 4, 1, 3, 2, 1, 1]",40,32.02876472
8,1.058172654,4.772485003,5,"[1, 3, 3, 2, 1, 3, 3, 4]",40,42.06427932
14,2.334814254,4.884053938,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2]",70,21.12403369
5,0.815436815,0.785053814,5,"[1, 3, 4, 4, 1]",25,3.503771782
14,2.266422947,4.057788842,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",70,198.7736843
1,0.333012792,5.046015728,5,[4],5,0.01700449
6,1.002253922,0.538853322,5,"[4, 1, 3, 2, 4, 4]",30,2.184481859
1,0.261605683,1.925585028,5,[3],5,0.147032261
0,0.159511735,0.625351294,5,[],0,0.001993418
7,1.233574302,3.460196694,5,"[1, 3, 2, 4, 1, 3, 2]",35,1.994448423
2,0.409212542,2.970010797,5,"[3, 3]",10,0.825678587
12,1.870028603,1.026038971,5,"[2, 4, 1, 3, 3, 2, 4, 1, 3, 2, 4, 1]",60,119.2544889
7,1.098128875,0.453025278,5,"[2, 4, 1, 3, 2, 4, 0]",35,6.348392487
14,2.403141602,3.65954828,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2]",70,50.05656672
17,2.770025778,3.17636027,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 3]",85,115.5304837
3,0.472402076,4.622629708,5,"[3, 2, 2]",15,1.638361454
16,2.590489101,5.021455055,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 1, 3, 2]",80,102.0875189
10,1.610924641,3.76193348,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2]",50,32.00240922
